confidence,label,second_level,url,user
70,basketball player,Sports,105,34
69,basketball,Sports,105,34
67,team sport,Sports,105,34
21,tournament,Live Events,105,34
60,people,People,51,93
52,person,People,51,93
99,guitar,Music,42,96
97,musical instrument,Music,42,96
97,bass guitar,Music,42,96
96,string instrument,Music,42,96
95,plucked string instruments,Music,42,96
89,acoustic guitar,Music,42,96
72,monochrome photography,Art,145,5
58,cartoon,TV,145,5
47,photograph,Art,145,5
40,image,Art,145,5
39,poster,Art,145,5
34,monochrome,Art,145,5
86,sports,Sports,179,29
82,air sports,Sports,179,29
81,extreme sport,Sports,179,29
76,mountain range,Terrain,179,29
64,windsports,Sports,179,29
62,mountain,Terrain,179,29
34,endurance sports,Sports,54,70
15,clothing,Clothing,54,70
99,pet,Wild Animals,188,10
90,animal,Wild Animals,188,10
89,mammal,Wild Animals,188,10
59,dog,Wild Animals,188,10
57,puppy,Wild Animals,188,10
83,social group,Family & Relationships,162,109
66,musician,Live Events,162,109
64,team,Family & Relationships,162,109
57,people,Family & Relationships,162,109
43,musical theatre,Live Events,162,109
26,audience,Live Events,162,109
88,art,Color,9,12
77,mural,Color,9,12
51,urban area,Real Estate,9,12
39,graffiti,Color,9,12
25,street art,Color,9,12
24,color,Color,9,12
91,ski,Sports,68,42
91,skiing,Sports,68,42
90,ski equipment,Sports,68,42
86,winter sport,Sports,68,42
83,alpine skiing,Sports,68,42
83,sports,Sports,68,42
87,dish,Food,90,78
80,food,Food,90,78
68,meal,Food,90,78
64,breakfast,Food,90,78
55,meat,Food,90,78
31,asian food,Food,90,78
49,singing,Live Events,123,55
38,performance,Live Events,123,55
32,musician,Live Events,123,55
30,guitarist,Live Events,123,55
27,performing arts,Live Events,123,55
26,singer,Live Events,123,55
58,urban area,"Cities, Towns, & Buildings",37,94
56,landmark,Nonbuilding Structures,37,94
50,facade,"Cities, Towns, & Buildings",37,94
47,downtown,"Cities, Towns, & Buildings",37,94
41,blue,Color,37,94
40,skyscraper,"Cities, Towns, & Buildings",37,94
97,photography,Art,198,81
94,selfie,People,198,81
91,image,Art,198,81
75,people,People,198,81
47,photograph,Art,198,81
45,portrait,Art,198,81
98,eyebrow,People,173,32
96,face,People,173,32
96,eye,People,173,32
90,nose,People,173,32
76,eyelash,People,173,32
72,human body,People,173,32
34,people,Family & Relationships,109,28
34,album cover,Music,109,28
33,photograph,Art,109,28
32,poster,Art,109,28
24,social group,Family & Relationships,109,28
22,youth,Family & Relationships,109,28
60,nightclub,Live Events,170,68
43,club,Live Events,170,68
29,disco,Live Events,170,68
13,music,Live Events,170,68
27,image,Art,95,21
23,stage,Live Events,95,21
18,display device,Consumer Electronics,95,21
95,sea,Body of Water,147,27
92,shore,Body of Water,147,27
92,ocean,Body of Water,147,27
91,coast,Body of Water,147,27
84,beach,Body of Water,147,27
84,rock,"Minerals, Rocks, & Metals",147,27
97,people,Family & Relationships,15,83
72,person,Family & Relationships,15,83
18,social group,Family & Relationships,15,83
17,audience,Live Events,15,83
12,musician,Live Events,15,83
86,drink,Beverages,61,82
79,beer,Beverages,61,82
68,beverage,Beverages,61,82
67,man made object,Nonbuilding Structures,61,82
58,glass,Beverages,61,82
44,ale,Beverages,61,82
98,snow,Weather,20,100
96,winter,Seasons,20,100
94,weather,Weather,20,100
90,branch,Weather,20,100
89,freezing,Weather,20,100
86,tree,Weather,20,100
96,color,Color,55,64
68,yellow,Color,55,64
51,fashion accessory,Fashion Accessories,55,64
47,red,Color,55,64
39,sunglasses,Fashion Accessories,55,64
38,glasses,Fashion Accessories,55,64
