brand,category,confidence,user
Northeastern University,Education,86,62
Apple,Consumer Electronics,100,62
Taco Bell,Fast Food,100,62
Pepsi,Soda,100,62
Pepsi,Soda,100,62
Pepsi,Soda,100,62
Kashi,Snack Food,98,62
Dunkin' Donuts,Coffee,100,62
Naked Juice,Juice,99,62
Sour Patch Kids,Candy,99,62
Starbucks,Coffee,100,62
Nike,Fitness Apparel,99,110
Bose,Consumer Electronics,100,110
Nike,Fitness Apparel,100,110
Calvin Klein,Clothing,100,110
Calvin Klein,Clothing,93,110
Starbucks,Coffee,96,110
Casio,Luxury Watches,100,81
New York Yankees,Sports League,100,81
Delta Airlines,Air Travel,100,81
Olympics,Live Events,100,81
Olympics,Live Events,100,81
Verizon,Telecommunication,100,81
Kinder,Candy,100,81
Samuel Adams,Alcoholic Beverages,95,81
Nike,Fitness Apparel,100,4
Nike,Fitness Apparel,100,4
Nike,Fitness Apparel,100,4
Nike,Fitness Apparel,100,4
Nike,Fitness Apparel,100,4
Northeastern University,Education,100,4
Nike,Fitness Apparel,100,4
Nivea,Personal Care,100,4
Nike,Fitness Apparel,100,4
Ford,Automobiles,100,17
The North Face,Sports and Outdoors,100,17
Panera Bread,Fast Food,100,17
Toshiba,Consumer Electronics,100,17
Pringles,Snack Food,80,93
Nikon,Consumer Electronics,100,93
Nikon,Consumer Electronics,100,93
Nikon,Consumer Electronics,100,93
Montreal Canadiens,Sports League,95,52
CCM Hockey,Sports and Outdoors,100,52
Montreal Canadiens,Sports League,96,52
Nike,Fitness Apparel,100,52
Northeastern University,Education,94,52
Montreal Canadiens,Sports League,100,52
Montreal Canadiens,Sports League,81,52
Reebok,Fitness Apparel,100,52
Montreal Canadiens,Sports League,99,52
Northeastern University,Education,100,45
Northeastern University,Education,95,52
Nike,Fitness Apparel,100,45
Geico,Financial Services,100,45
Ford,Automobiles,100,45
NCAA,Sports League,100,45
NCAA,Sports League,100,45
New Balance,Fitness Apparel,92,45
Bauer Hockey,Sports and Outdoors,83,45
The North Face,Sports and Outdoors,100,76
The North Face,Sports and Outdoors,100,76
In N Out Burger,Fast Food,100,68
Panasonic,Consumer Electronics,98,68
