age,ethnicity,ethnicity_confidence,gender,gender_confidence,human_confidence,tag_location,url,user
20-29,white,58,female,99,90,"[17, 10, 12, 10]",11339,98
30-39,white,90,female,99,99,"[60, 18, 6, 6]",7981,98
13-19,white,99,female,99,99,"[44, 15, 6, 6]",7981,98
30-39,white,99,female,99,96,"[54, 28, 12, 9]",2105,98
30-39,white,97,female,99,87,"[38, 31, 10, 8]",2105,98
20-29,white,66,female,99,99,"[27, 33, 13, 18]",12115,98
13-19,white,99,female,99,99,"[51, 25, 16, 21]",12115,98
20-29,white,93,male,99,99,"[50, 52, 9, 12]",12350,98
13-19,white,59,female,98,99,"[74, 49, 13, 17]",12350,98
20-29,white,98,female,99,98,"[18, 54, 11, 14]",12350,98
20-29,white,98,female,99,97,"[37, 47, 9, 12]",12350,98
20-29,black or african american,48,male,99,99,"[60, 45, 11, 15]",13243,83
20-29,white,97,female,96,99,"[58, 33, 7, 7]",13260,12
20-29,white,99,female,99,96,"[41, 36, 7, 7]",13260,12
30-39,asian,89,male,99,93,"[25, 37, 7, 7]",13260,12
20-29,white,99,female,99,76,"[72, 36, 8, 8]",13260,12
20-29,hispanic or latino,55,female,99,98,"[50, 45, 11, 15]",12246,83
20-29,hispanic or latino,33,female,98,82,"[12, 39, 11, 14]",12246,83
30-39,black or african american,39,male,99,62,"[63, 27, 13, 18]",12246,83
20-29,white,93,male,99,97,"[35, 10, 12, 10]",8884,98
30-39,white,95,female,99,73,"[52, 14, 10, 8]",8884,98
40-49,white,67,female,97,99,"[30, 34, 4, 6]",1366,98
13-19,white,99,female,99,99,"[40, 34, 4, 6]",1366,98
0-12,white,99,female,97,99,"[13, 23, 33, 44]",1034,98
13-19,white,94,female,98,99,"[39, 18, 33, 44]",1034,98
13-19,hispanic or latino,45,male,99,99,"[71, 26, 23, 30]",12746,83
20-29,white,78,female,97,90,"[17, 37, 16, 21]",12746,83
13-19,hispanic or latino,37,female,99,99,"[54, 6, 12, 10]",6903,59
30-39,black or african american,68,male,98,99,"[60, 25, 6, 6]",6654,59
20-29,black or african american,94,male,56,98,"[37, 47, 7, 7]",6654,59
20-29,black or african american,95,male,99,99,"[39, 8, 12, 11]",12102,59
13-19,white,96,female,99,98,"[47, 17, 14, 12]",13374,98
13-19,white,99,female,99,95,"[27, 16, 17, 14]",13374,98
40-49,white,88,female,99,99,"[31, 22, 8, 6]",2720,98
40-49,white,98,female,99,99,"[40, 24, 8, 6]",2720,98
20-29,white,99,female,96,99,"[21, 25, 10, 8]",2720,98
20-29,white,87,female,99,75,"[49, 49, 6, 4]",10849,98
20-29,white,99,female,99,99,"[2, 27, 37, 37]",9347,98
30-39,white,93,male,98,99,"[56, 30, 25, 25]",9347,98
30-39,white,86,male,58,94,"[51, 23, 8, 8]",9347,98
13-19,white,89,female,83,65,"[85, 21, 10, 10]",9347,98
13-19,white,99,female,88,99,"[7, 50, 25, 25]",12662,98
13-19,white,99,female,99,99,"[40, 40, 30, 30]",12662,98
13-19,white,96,female,86,98,"[-3, 19, 28, 25]",12662,98
30-39,hispanic or latino,65,male,99,99,"[30, 27, 11, 14]",7819,83
20-29,hispanic or latino,63,female,85,99,"[69, 30, 7, 10]",7819,83
20-29,south asian,39,male,99,99,"[12, 54, 23, 30]",7819,83
20-29,hispanic or latino,50,female,99,90,"[76, 45, 11, 15]",7819,83
30-39,white,95,male,99,74,"[54, 51, 6, 5]",11569,98
30-39,white,99,female,99,69,"[66, 52, 6, 5]",11569,98
30-39,white,94,female,94,63,"[75, 55, 6, 5]",11569,98
20-29,white,92,female,99,99,"[59, 22, 7, 7]",6668,98
13-19,white,98,female,99,99,"[70, 23, 6, 6]",6668,98
0-12,white,99,female,99,99,"[6, 27, 6, 6]",6668,98
13-19,white,99,female,99,99,"[18, 16, 7, 7]",6668,98
0-12,white,99,female,99,99,"[22, 22, 53, 42]",5271,98
30-39,white,97,female,99,99,"[46, 17, 12, 9]",924,98
20-29,white,95,female,99,99,"[70, 16, 10, 8]",924,98
30-39,white,74,female,99,79,"[3, 27, 12, 10]",924,98
30-39,hispanic or latino,43,male,99,96,"[28, 22, 44, 35]",650,83
20-29,white,98,female,99,99,"[62, 33, 17, 17]",10768,12
20-29,white,99,male,99,99,"[33, 13, 17, 17]",10768,12
30-39,white,89,female,99,99,"[22, 24, 10, 10]",9059,12
20-29,white,97,female,99,99,"[52, 10, 12, 10]",14138,98
20-29,white,99,female,99,99,"[36, 6, 12, 9]",14138,98
40-49,black or african american,73,male,99,57,"[42, 4, 14, 21]",10031,59
20-29,white,99,female,99,99,"[52, 39, 6, 8]",10712,98
20-29,white,99,female,99,99,"[42, 39, 5, 7]",10712,98
20-29,white,99,female,99,97,"[47, 12, 12, 10]",6739,98
20-29,white,97,female,99,99,"[52, 36, 7, 5]",1036,98
13-19,white,96,female,96,99,"[47, 38, 6, 4]",1036,98
30-39,black or african american,59,male,98,97,"[37, 15, 21, 21]",14391,59
20-29,black or african american,74,male,99,97,"[37, 10, 10, 10]",5216,59
30-39,black or african american,99,male,99,99,"[4, 47, 21, 21]",5801,59
13-19,black or african american,99,male,99,90,"[21, 11, 17, 21]",5641,59
20-29,white,97,female,99,99,"[60, 37, 8, 8]",8346,98
13-19,white,83,female,99,99,"[59, 39, 5, 8]",4339,98
30-39,white,58,male,99,98,"[47, 35, 6, 10]",4339,98
20-29,white,96,female,97,87,"[35, 48, 6, 10]",4339,98
20-29,white,97,female,99,99,"[31, 15, 37, 37]",4096,98
20-29,white,99,female,99,99,"[52, 22, 5, 7]",13413,98
13-19,white,94,female,99,99,"[46, 22, 5, 7]",13413,98
30-39,black or african american,89,male,99,99,"[22, 16, 10, 10]",11401,59
20-29,black or african american,73,male,99,59,"[27, 34, 5, 5]",8825,59
40-49,white,99,female,99,92,"[43, 15, 17, 17]",13059,96
30-39,white,92,male,99,99,"[27, 29, 12, 12]",8302,59
20-29,black or african american,99,male,99,99,"[45, 24, 14, 15]",8302,59
30-39,white,54,male,93,60,"[12, 24, 8, 8]",8302,59
20-29,white,75,female,99,99,"[45, 28, 6, 8]",234,98
20-29,hispanic or latino,52,female,96,99,"[66, 31, 6, 8]",234,98
20-29,white,99,female,99,98,"[28, 30, 7, 10]",234,98
13-19,white,98,female,99,81,"[73, 29, 7, 5]",2427,98
20-29,white,98,female,99,99,"[37, 54, 9, 15]",11520,98
30-39,white,97,female,99,99,"[46, 44, 10, 15]",11520,98
20-29,white,94,female,99,99,"[18, 28, 9, 12]",2393,98
13-19,white,93,female,99,99,"[68, 32, 9, 12]",2393,98
30-39,white,62,female,98,97,"[42, 31, 9, 12]",2393,98
20-29,white,98,female,96,89,"[49, 77, 5, 5]",13301,98
20-29,white,94,female,99,72,"[74, 49, 7, 7]",13301,98
20-29,white,92,female,99,96,"[38, 57, 7, 7]",7914,98
13-19,white,73,female,99,96,"[58, 57, 5, 5]",7914,98
20-29,white,99,female,58,99,"[34, 27, 15, 14]",1731,98
20-29,white,98,female,99,97,"[50, 29, 12, 12]",1731,98
20-29,white,99,female,99,95,"[15, 22, 14, 15]",1731,98
20-29,white,96,female,92,74,"[39, 70, 25, 25]",1731,98
20-29,white,96,female,99,99,"[38, 34, 10, 8]",13866,11
30-39,white,98,female,93,99,"[60, 26, 12, 10]",13866,11
30-39,white,98,female,99,99,"[14, 27, 12, 10]",13866,11
13-19,white,98,female,99,99,"[81, 29, 12, 10]",13866,11
20-29,white,81,female,89,99,"[55, 40, 8, 8]",7408,11
30-39,white,61,male,99,99,"[28, 49, 6, 6]",7408,11
30-39,white,92,male,87,99,"[57, 31, 6, 6]",7408,11
30-39,white,85,female,99,99,"[86, 44, 6, 6]",7408,11
30-39,white,64,female,99,99,"[75, 71, 6, 6]",7408,11
30-39,white,52,male,99,99,"[82, 37, 6, 6]",7408,11
30-39,white,66,female,96,99,"[65, 69, 7, 7]",7408,11
20-29,white,87,female,92,97,"[23, 66, 7, 7]",7408,11
30-39,white,75,female,98,97,"[66, 33, 6, 6]",7408,11
20-29,white,29,male,99,96,"[94, 42, 6, 6]",7408,11
20-29,white,61,female,96,96,"[35, 57, 6, 6]",7408,11
20-29,white,46,female,99,94,"[62, 46, 8, 8]",7408,11
20-29,white,84,female,91,92,"[20, 54, 6, 6]",7408,11
30-39,white,83,female,99,91,"[71, 38, 7, 7]",7408,11
30-39,white,35,male,57,88,"[10, 59, 8, 8]",7408,11
20-29,white,83,female,98,74,"[76, 53, 7, 7]",7408,11
20-29,white,41,female,79,74,"[56, 69, 8, 8]",7408,11
20-29,white,48,female,97,56,"[53, 62, 6, 6]",7408,11
20-29,white,83,female,99,99,"[36, 17, 8, 8]",14007,98
20-29,white,93,female,99,99,"[50, 10, 10, 9]",14007,98
30-39,white,94,female,94,99,"[15, 13, 8, 8]",14007,98
20-29,white,98,female,99,89,"[70, 11, 8, 8]",14007,98
20-29,white,98,female,99,99,"[65, 24, 4, 6]",13471,98
13-19,white,98,female,99,99,"[35, 23, 5, 7]",13471,98
20-29,white,98,female,99,99,"[57, 22, 5, 7]",13471,98
20-29,white,96,female,99,98,"[20, 22, 5, 7]",13471,98
40-49,white,90,female,99,78,"[48, 27, 4, 6]",13471,98
20-29,white,99,female,99,98,"[32, 14, 12, 9]",14164,98
30-39,white,97,male,82,97,"[49, 11, 12, 10]",14164,98
0-12,white,89,female,86,99,"[56, 27, 4, 6]",3451,98
30-39,white,94,female,90,91,"[61, 42, 4, 6]",7230,98
20-29,white,96,female,96,84,"[33, 36, 4, 6]",7230,98
20-29,white,94,female,95,59,"[51, 25, 4, 6]",7230,98
13-19,white,81,female,99,99,"[47, 11, 14, 15]",13329,58
30-39,black or african american,91,male,99,99,"[33, 14, 7, 7]",926,59
20-29,black or african american,94,male,88,99,"[59, 19, 7, 7]",926,59
20-29,black or african american,74,male,99,92,"[11, 12, 8, 8]",926,59
20-29,black or african american,96,male,99,72,"[30, 11, 8, 8]",2394,59
40-49,white,71,male,98,99,"[12, 20, 10, 10]",5312,59
30-39,white,61,male,99,99,"[35, 22, 10, 10]",5312,59
20-29,white,99,male,99,89,"[55, 14, 8, 8]",5312,59
30-39,black or african american,97,male,91,55,"[69, 20, 10, 10]",5312,59
13-19,black or african american,99,male,99,60,"[39, 11, 15, 15]",9313,59
20-29,white,84,male,99,99,"[51, 9, 10, 10]",2813,98
20-29,white,99,female,99,99,"[37, 14, 10, 10]",2813,98
30-39,white,99,female,99,96,"[30, 47, 31, 30]",10631,98
50-59,white,99,female,99,75,"[32, 20, 21, 17]",12684,98
13-19,white,99,female,99,99,"[44, 35, 10, 10]",7293,98
20-29,white,99,female,99,99,"[53, 50, 10, 10]",7293,98
20-29,white,95,female,99,99,"[38, 53, 12, 12]",7293,98
13-19,white,99,female,99,99,"[67, 45, 12, 12]",7293,98
30-39,white,31,male,99,62,"[19, 23, 37, 37]",8373,59
